boxer1,boxer2,result,date,video
Arlen Lopez,Wanderley Pereira,W-UD,2023/10/27,2023-10-27_Wanderley-Pereira_Arlen-Lopez
Arlen Lopez,Gazi Jalidov,W-MD,2023/2/8,2023-02-08_Arlen-Lopez_Gazi-Jalidov
Arlen Lopez,Alfred Commey,W-UD,2023/2/6,2023-02-06_Alfred-Commey_Arlen-Lopez
Arlen Lopez,Abdelrahman Oraby,W-UD,2023/2/4,2023-02-04_Abdelrahman-Oraby_Arlen-Lopez
Arlen Lopez,Ben Whittaker,W-SD,2021/8/4,
Arlen Lopez,Mohamed Houmri,W-UD,2021/7/28,2021-07-28_Mohamed-Houmri_Arlen-Lopez
Callum Peters,Wanderley Pereira,W-SD,2024/3/17,
Callum Peters,Wanderley Pereira,W-UD,2024/3/15,
Callum Peters,Kirra Ruston,W-PTS,2023/8/12,
Callum Peters,Kirra Ruston,W-PTS,2023/6/11,
Callum Peters,Sumit,W-UD,2022/7/31,2022-07-31_Callum-Peters_Sumit-Sumit
Callum Peters,Kirra Ruston,W-UD,2021/11/13,
Callum Peters,Kirra Ruston,W-PTS,2021/2/28,
Eumir Felix Marcial,Weerapon Jongjoho,W-KO,2023/10/1,2023-10-01_Eumir-Felix-Marcial_Weerapon-Jongjoho
Eumir Felix Marcial,Arman Darchinyan,W-KO,2021/8/1,
Gabrijel Veocic,Yerassyl Zhakpekov,W-SD,2024/3/17,2024-03-17_Gabrijel-Veocic_Yerassyl-Zhakpekov
Gabrijel Veocic,Murad Allahverdiyev,W-UD,2023/6/30,2023-06-30_Murad-Allahverdiyev_Gabrijel-Veocic
Gabrijel Veocic,Andrei Aradoaie,W-UD,2023/6/26,2023-06-26_Gabrijel-Veocic_Andrei-Aradoaie
Gabrijel Veocic,Kristiyan Nikolov,W-SD,2023/6/24,
Gabrijel Veocic,Omurbek Bekzhigit uulu,W-DQ,2023/5/9,
Gabrijel Veocic,Andrei Chiriacov,W-UD,2023/5/2,2023-05-02_Andrei-Chiriacov_Gabrijel-Veocic
Gabrijel Veocic,Andrei Aradoaie,W-TKO,2023/2/4,
Gabrijel Veocic,Gazi Jalidov,W-SD,2022/10/29,2022-10-29_Gazi-Jalidov_Gabrijel-Veocic
Gabrijel Veocic,Gradus Kraus,W-UD,2022/10/26,
Gabrijel Veocic,Sam Hickey,W-SD,2022/3/20,2022-03-20_Gabrijel-Veocic_Sam-Hickey
