boxer1,boxer2,result,date,video
Murad Allahverdiyev,Abdelrahman Oraby,W,2024-07-30,
Gabrijel Veocic,Hussein Iashaish,W,2024-7-30,
Arlen Lopez,Kaan Aykutsun,W,2024-07-31,
Arlen Lopez,Turabek Khabibullaev,W,2024-08-03,
Cristian Pinales,Weerapon Jongjoho,W,2024-07-27,
Cristian Pinales,Tuohetaerbieke Tanglatihan,W,2024-07-30,
Cristian Pinales,Gabrijel Veocic,W,2024-08-02,
Nurbek Oralbay,Callum Peters,W,2024-07-30,
Nurbek Oralbay,Murad Allahverdiyev,W,2024-08-02,
Nurbek Oralbay,Cristian Pinales,W,2024-08-04,
Kaan Aykutsun,Salvatore Cavallaro,W,2024-07-28,
Oleksandr Khyzhniak,Pylyp Akilov,W,2024-07-31,
Oleksandr Khyzhniak,Wanderley Pereira,W,2024-08-03,
Oleksandr Khyzhniak,Arlen Lopez,W,2024-08-04,
Oleksandr Khyzhniak,Nurbek Oralbay,W,2024-08-08,
Turabek Khabibullaev,Eumir Felix Marcial,W,2024-07-31,
